SRP	ACCESSION	RUN_SET.RUN.IDENTIFIERS.PRIMARY_ID	SAMPLE.SAMPLE_NAME.TAXON_ID	Pool.Member.@sample_title	replicate	infection	sequencing_library_method	lab_host	passage_history	serotype	case history of originator	genotype/variation	timepoint_days_post_infection	stress	polysome fraction	biological replicates	barcode	isolation_source	knockdown	age	note	donor id	cell line background	reference genome	source_name	disease	treatment	tissue	genotype	genetics	overexpression	tumor type	isolate	geo_loc_name	chip antibody	time	ectopic e2f-1 expressed	treatment2	genetic aberration	shRNA	treated with	concentration	sample_type	agent	time point	cell line	tissue source	treatment1	BioSampleModel	antibody	collection_date	mtap status	incubation time	vector	conditions	transfection	condition	cell type	culture type	time of treatment
SRP324902	SRX11189850	SRR14872399	9606	CHLA_20_JSK591_rep1																					CHLA-20 cells treated with JSK591 replicate 1		JSK591																			CHLA-20														
SRP324902	SRX11189851	SRR14872400	9606	CHLA_20_JSK591_rep2																					CHLA-20 cells treated with JSK591 replicate 2		JSK591																			CHLA-20														
SRP324902	SRX11189852	SRR14872401	9606	NGP_DMSO_rep1																					NGP cells treated with DMSO replicate 1		DMSO																			NGP														
SRP324902	SRX11189853	SRR14872402	9606	NGP_DMSO_rep2																					NGP cells treated with DMSO replicate 2		DMSO																			NGP														
SRP324902	SRX11189854	SRR14872403	9606	NGP_JSK591_rep1																					NGP cells treated with JSK591 replicate 1		JSK591																			NGP														
SRP324902	SRX11189855	SRR14872404	9606	NGP_JSK591_rep2																					NGP cells treated with JSK591 replicate 2		JSK591																			NGP														
SRP341597	SRX12633121	SRR16355590	9606	T24-NC																					bladder cancer cell line T24		Negative control																			bladder cancer cell line T24														
SRP341597	SRX12633122	SRR16355591	9606	T24-S1																					bladder cancer cell line T24		0.04 OD Si-RNA-1																			bladder cancer cell line T24														
SRP341597	SRX12633123	SRR16355592	9606	T24-S2																					bladder cancer cell line T24		0.04 OD Si-RNA-2																			bladder cancer cell line T24														
SRP064144	SRX1283460		9606	RNAPII ChIP, shGFP 8wg16								Expressing shRNA targeting GFP under CMV promoter.													Raji (lymphocyte)																									RNAPII CTD (8wg16) (purified in the lab)								Raji (EBNA 1 positive)		
SRP064144	SRX1283461		9606	RNAPII ChIP, shSMN 8wg16								Expressing shRNA targeting SMN under CMV promoter.													Raji (lymphocyte)																									RNAPII CTD (8wg16) (purified in the lab)								Raji (EBNA 1 positive)		
SRP064144	SRX1283462		9606	RNAPII ChIP, shGFP 4h8								Expressing shRNA targeting GFP under CMV promoter.													Raji (lymphocyte)																									RNAPII CTD, phospho-S5 (4h8) (Abcam mAb Cat # ab5408)								Raji (EBNA 1 positive)		
SRP064144	SRX1283463		9606	RNAPII ChIP, shSMN 4h8								Expressing shRNA targeting SMN under CMV promoter.													Raji (lymphocyte)																									RNAPII CTD, phospho-S5 (4h8) (Abcam mAb Cat # ab5408)								Raji (EBNA 1 positive)		
SRP064144	SRX1283464		9606	RNAPII ChIP, Wild-type RNAPII								Expressing amanitin-resistant wt POLR2A													Raji (lymphocyte)																									RNAPII (N20) (Santa Cruz pAb Cat # sc-899)								Raji (EBNA 1 positive)		
SRP064144	SRX1283465		9606	RNAPII ChIP, R1810A mutant RNAPII								Expressing amanitin-resistant R1810A mutant POLR2A													Raji (lymphocyte)																									RNAPII (N20) (Santa Cruz pAb Cat # sc-899)								Raji (EBNA 1 positive)		
SRP064144	SRX1283466		9606	SMN ChIP								Expressing Dox inducible GFP-SMN fusion protein. Construct is hygromycin resistant.													HEK293																									SMN (Santa Cruz pAb Cat # H-195)								HEK293		
SRP064144	SRX1283467		9606	SMN-GFP ChIP								Expressing Dox inducible GFP-SMN fusion protein. Construct is hygromycin resistant.													HEK293																									GFP (Abcam pAb Cat# 290)								HEK293		
SRP064144	SRX1283468		9606	IgG ChIP								Wild type													Raji (lymphocyte)																									IgG (Invitrogen Cat # 10500C)								Raji (EBNA 1 positive)		
SRP064740	SRX1331406	SRR2636948	9606	Flag-ZNF224																					HEK293 cell line transfected with Flag-ZNF224, Flag ChIP										anti-Flag M2											HEK293										Flag-ZNF224				
SRP341597	SRX13852141	SRR17688881	9606	UM-UC-3-NC																					bladder cancer cell line UM-UC-3		Negative control																			bladder cancer cell line UM-UC-3														
SRP341597	SRX13852142	SRR17688882	9606	UM-UC-3-S1																					bladder cancer cell line UM-UC-3		0.04 OD Si-RNA-1																			bladder cancer cell line UM-UC-3														
SRP341597	SRX13852143	SRR17688883	9606	UM-UC-3-S2																					bladder cancer cell line UM-UC-3		0.04 OD Si-RNA-2																			bladder cancer cell line UM-UC-3														
SRP356653	SRX13898240	SRR17735685	9606	Z-138_MIGR1_Control_rep1																					Z-138 cells		Treated with DMSO for 24hr				Overexpressing empty vector														48hr after retrovirus transduction	Z-138 cells												Mantle cell lymphoma cell line		
SRP356653	SRX13898241	SRR17735684	9606	Z-138_MIGR1_Control_rep2																					Z-138 cells		Treated with DMSO for 24hr				Overexpressing empty vector														48hr after retrovirus transduction	Z-138 cells												Mantle cell lymphoma cell line		
SRP356653	SRX13898242	SRR17735683	9606	Z-138_MIGR1_Control_rep3																					Z-138 cells		Treated with DMSO for 24hr				Overexpressing empty vector														48hr after retrovirus transduction	Z-138 cells												Mantle cell lymphoma cell line		
SRP356653	SRX13898243	SRR17735682	9606	Z-138_MIGR1_GSK591_rep1																					Z-138 cells		Treated with 5µM GSK591 for 24hr				Overexpressing empty vector														48hr after retrovirus transduction	Z-138 cells												Mantle cell lymphoma cell line		
SRP356653	SRX13898244	SRR17735681	9606	Z-138_MIGR1_GSK591_rep2																					Z-138 cells		Treated with 5µM GSK591 for 24hr				Overexpressing empty vector														48hr after retrovirus transduction	Z-138 cells												Mantle cell lymphoma cell line		
SRP356653	SRX13898245	SRR17735680	9606	Z-138_MIGR1_GSK591_rep3																					Z-138 cells		Treated with 5µM GSK591 for 24hr				Overexpressing empty vector														48hr after retrovirus transduction	Z-138 cells												Mantle cell lymphoma cell line		
SRP356653	SRX13898246	SRR17735679	9606	Z-138_MIGR1_Ro_rep1																					Z-138 cells		Treated with 5µM Ro for 24hr				Overexpressing empty vector														48hr after retrovirus transduction	Z-138 cells												Mantle cell lymphoma cell line		
SRP356653	SRX13898247	SRR17735678	9606	Z-138_MIGR1_Ro_rep2																					Z-138 cells		Treated with 5µM Ro for 24hr				Overexpressing empty vector														48hr after retrovirus transduction	Z-138 cells												Mantle cell lymphoma cell line		
SRP356653	SRX13898248	SRR17735677	9606	Z-138_MIGR1_Ro_rep3																					Z-138 cells		Treated with 5µM Ro for 24hr				Overexpressing empty vector														48hr after retrovirus transduction	Z-138 cells												Mantle cell lymphoma cell line		
SRP356653	SRX13898249	SRR17735676	9606	Z-138_MIGR1_GSK591_Ro_rep1																					Z-138 cells		Treated with 5µM GSK591 and 5µM Ro for 24hr				Overexpressing empty vector														48hr after retrovirus transduction	Z-138 cells												Mantle cell lymphoma cell line		
SRP356653	SRX13898250	SRR17735675	9606	Z-138_MIGR1_GSK591_Ro_rep2																					Z-138 cells		Treated with 5µM GSK591 and 5µM Ro for 24hr				Overexpressing empty vector														48hr after retrovirus transduction	Z-138 cells												Mantle cell lymphoma cell line		
SRP356653	SRX13898251	SRR17735674	9606	Z-138_MIGR1_GSK591_Ro_rep3																					Z-138 cells		Treated with 5µM GSK591 and 5µM Ro for 24hr				Overexpressing empty vector														48hr after retrovirus transduction	Z-138 cells												Mantle cell lymphoma cell line		
SRP356658	SRX13898301	SRR17735744	9606	Z-138_MSI2ADAR_Control_rep1																					Z-138 cells		Treated with DMSO for 24hr				Overexpressing MSI2-HyperADAR fusion														48hr after transduction	Z-138 cells												Mantle cell lymphoma cell line		
SRP356658	SRX13898302	SRR17735743	9606	Z-138_MSI2ADAR_Control_rep2																					Z-138 cells		Treated with DMSO for 24hr				Overexpressing MSI2-HyperADAR fusion														48hr after transduction	Z-138 cells												Mantle cell lymphoma cell line		
SRP356658	SRX13898303	SRR17735742	9606	Z-138_MSI2ADAR_Ro_rep1																					Z-138 cells		Treated with 5µM Ro for 24hr				Overexpressing MSI2-HyperADAR fusion														48hr after transduction	Z-138 cells												Mantle cell lymphoma cell line		
SRP356658	SRX13898304	SRR17735741	9606	Z-138_MSI2ADAR_Ro_rep2																					Z-138 cells		Treated with 5µM Ro for 24hr				Overexpressing MSI2-HyperADAR fusion														48hr after transduction	Z-138 cells												Mantle cell lymphoma cell line		
SRP356658	SRX13898305	SRR17735740	9606	Z-138_MSI2ADAR_Ro_rep3																					Z-138 cells		Treated with 5µM Ro for 24hr				Overexpressing MSI2-HyperADAR fusion														48hr after transduction	Z-138 cells												Mantle cell lymphoma cell line		
SRP356658	SRX13898306	SRR17735739	9606	Z-138_MSI2ADAR_GSK591_rep1																					Z-138 cells		Treated with 5µM GSK591 for 24hr				Overexpressing MSI2-HyperADAR fusion														48hr after transduction	Z-138 cells												Mantle cell lymphoma cell line		
SRP356658	SRX13898307	SRR17735738	9606	Z-138_MSI2ADAR_GSK591_rep2																					Z-138 cells		Treated with 5µM GSK591 for 24hr				Overexpressing MSI2-HyperADAR fusion														48hr after transduction	Z-138 cells												Mantle cell lymphoma cell line		
SRP356658	SRX13898308	SRR17735737	9606	Z-138_MSI2ADAR_GSK591_Ro_rep1																					Z-138 cells		Treated with 5µM GSK591 and 5µM Ro for 24hr				Overexpressing MSI2-HyperADAR fusion														48hr after transduction	Z-138 cells												Mantle cell lymphoma cell line		
SRP356658	SRX13898309	SRR17735736	9606	Z-138_MSI2ADAR_GSK591_Ro_rep2																					Z-138 cells		Treated with 5µM GSK591 and 5µM Ro for 24hr				Overexpressing MSI2-HyperADAR fusion														48hr after transduction	Z-138 cells												Mantle cell lymphoma cell line		
SRP356658	SRX13898310	SRR17735735	9606	Z-138_MSI2ADAR_GSK591_Ro_rep3																					Z-138 cells		Treated with 5µM GSK591 and 5µM Ro for 24hr				Overexpressing MSI2-HyperADAR fusion														48hr after transduction	Z-138 cells												Mantle cell lymphoma cell line		
SRP066444	SRX1439594	SRR2932154	9606	PRMT5/Knockdown_1																					AML cell line (MV4-11)_PMRT5/Knockdown																					MV4-11														
SRP066444	SRX1439595	SRR2932155	9606	PRMT5/Knockdown_2																					AML cell line (MV4-11)_PMRT5/Knockdown																					MV4-11														
SRP066444	SRX1439596	SRR2932156	9606	PRMT5/Knockdown_3																					AML cell line (MV4-11)_PMRT5/Knockdown																					MV4-11														
SRP066444	SRX1439597	SRR2932157	9606	Scrambled control_1																					AML cell line (MV4-11)_scrambled																					MV4-11														
SRP066444	SRX1439598	SRR2932158	9606	Scrambled control_2																					AML cell line (MV4-11)_scrambled																					MV4-11														
SRP066444	SRX1439599	SRR2932159	9606	Scrambled control_3																					AML cell line (MV4-11)_scrambled																					MV4-11														
SRP067045	SRX1466273	SRR2976843	9606	Input_ChIP-seq																					Input		no treatment								none (input)											breast cancer cell line MDA-MB-231														
SRP067045	SRX1466274	SRR2976844	9606	PRMT5_ChIP-seq																					PRMT5		no treatment								PRMT5 (Bethyl Labs A300-849A)											breast cancer cell line MDA-MB-231														
SRP067026	SRX1466532	SRR2977058	9606	Scrambled control shRNA_1		Scrambled control shRNA_1																			Scrambled control shRNA (control for WDR77 shRNA)		Infected cells were selected with puromycin (1mg/mL) for 5 days																			breast cancer cell line MDA-MB-231														
SRP067026	SRX1466533	SRR2977059	9606	Scrambled control shRNA_2		Scrambled control shRNA_2																			Scrambled control shRNA (control for PRMT5 shRNA)		Infected cells were selected with puromycin (1mg/mL) for 5 days																			breast cancer cell line MDA-MB-231														
SRP067026	SRX1466534	SRR2977060	9606	WDR77 shRNA		WDR77 shRNA																			WDR77 shRNA		Infected cells were selected with puromycin (1mg/mL) for 5 days																			breast cancer cell line MDA-MB-231														
SRP067026	SRX1466535	SRR2977061	9606	PRMT5 shRNA		PRMT5 shRNA																			PRMT5 shRNA		Infected cells were selected with puromycin (1mg/mL) for 5 days																			breast cancer cell line MDA-MB-231														
SRP067025	SRX1466537	SRR2977062	9606	DMSO-treated																					MDA-MB-231		5µM DMSO for 4 hours at 37°C																			breast cancer cell line MDA-MB-231														
SRP067025	SRX1466538	SRR2977063	9606	HPTB-treated																					MDA-MB-231		5µM HPTB for 4 hours at 37°C																			breast cancer cell line MDA-MB-231														
SRP379185	SRX15637843		9606	L33_Richter's_Lymph_Node_GEX													SI-TT-B1								Lymph Node	Richter's Transformation		Lymph Node																																
SRP379185	SRX15637844		9606	L34_Richter's_PBMC_GEX													SI-TT-C2								PBMC	Richter's Transformation		PBMC																																
SRP379185	SRX15637845		9606	L35_CLL_PBMC_GEX													SI-TT-D3								PBMC	Chronic Lymphocytic Leukemia		PBMC																																
SRP379185	SRX15637846		9606	L36_Richter's_Lymph_Node_GEX													SI-TT-E4								Lymph Node	Richter's Transformation		Lymph Node																																
SRP379185	SRX15637847		9606	L37_Richter's_PBMC_GEX													SI-TT-F5								PBMC	Richter's Transformation		PBMC																																
SRP379185	SRX15637848		9606	L38_CLL_PBMC_GEX													SI-TT-G6								PBMC	Chronic Lymphocytic Leukemia		PBMC																																
SRP379185	SRX15637849		9606	L33_Richter's_Lymph_Node_VDJ													SI-TT-A1								Lymph Node	Richter's Transformation		Lymph Node																																
SRP379185	SRX15637850		9606	L34_Richter's_PBMC_VDJ													SI-TT-B2								PBMC	Richter's Transformation		PBMC																																
SRP379185	SRX15637851		9606	L35_CLL_PBMC_VDJ													SI-TT-C3								PBMC	Chronic Lymphocytic Leukemia		PBMC																																
SRP379185	SRX15637852		9606	L36_Richter's_Lymph_Node_VDJ													SI-TT-D4								Lymph Node	Richter's Transformation		Lymph Node																																
SRP379185	SRX15637853		9606	L37_Richter's_PBMC_VDJ													SI-TT-E5								PBMC	Richter's Transformation		PBMC																																
SRP379185	SRX15637854		9606	L38_CLL_PBMC_VDJ													SI-TT-F6								PBMC	Chronic Lymphocytic Leukemia		PBMC																																
SRP379612	SRX15675477	SRR19624864	9606	hEnSC,Control,1																					Endometrium			Endometrium								0h		8-Br-cAMP,MPA										solvent										stromal cells		
SRP379612	SRX15675478	SRR19624863	9606	hEnSC,Control,2																					Endometrium			Endometrium								0h		8-Br-cAMP,MPA										solvent										stromal cells		
SRP379612	SRX15675479	SRR19624862	9606	hEnSC,Control,Decidual1																					Endometrium			Endometrium								48h		8-Br-cAMP,MPA										solvent										stromal cells		
SRP379612	SRX15675480	SRR19624861	9606	hEnSC,Control,Decidual2																					Endometrium			Endometrium								48h		8-Br-cAMP,MPA										solvent										stromal cells		
SRP379612	SRX15675481	SRR19624860	9606	hEnSC,GSK591,1																					Endometrium			Endometrium								0h		8-Br-cAMP,MPA										GSK591										stromal cells		
SRP379612	SRX15675482	SRR19624859	9606	hEnSC,GSK591,2																					Endometrium			Endometrium								0h		8-Br-cAMP,MPA										GSK591										stromal cells		
SRP379612	SRX15675483	SRR19624858	9606	hEnSC,GSK591,Decidual1																					Endometrium			Endometrium								48h		8-Br-cAMP,MPA										GSK591										stromal cells		
SRP379612	SRX15675484	SRR19624857	9606	hEnSC,GSK591,Decidual2																					Endometrium			Endometrium								48h		8-Br-cAMP,MPA										GSK591										stromal cells		
SRP071668	SRX1629239	SRR3222464	9606	sh2 R1881 1 AR																					cell line VCaP		R1881								AR					PRMT5 sh2						VCaP														
SRP071668	SRX1629240	SRR3222465	9606	NTC R1881 2 AR																					cell line VCaP		R1881								AR					PRMT5 NTC						VCaP														
SRP071668	SRX1629241	SRR3222466	9606	sh1 R1881 2 AR																					cell line VCaP		R1881								AR					PRMT5 sh1						VCaP														
SRP071668	SRX1629242	SRR3222467	9606	sh2 R1881 2 AR																					cell line VCaP		R1881								AR					PRMT5 sh2						VCaP														
SRP071668	SRX1629243	SRR3222468	9606	NTC DHT 2 AR																					cell line VCaP		DHT								AR					PRMT5 NTC						VCaP														
SRP071668	SRX1629244	SRR3222469	9606	sh1 DHT 2 AR																					cell line VCaP		DHT								AR					PRMT5 sh1						VCaP														
SRP071668	SRX1629245	SRR3222470	9606	sh2 DHT 2 AR																					cell line VCaP		DHT								AR					PRMT5 sh2						VCaP														
SRP071668	SRX1629246	SRR3222471	9606	sh3 DHT 2 AR																					cell line VCaP		DHT								AR					PRMT5 sh3						VCaP														
SRP071668	SRX1629247	SRR3222472	9606	NTC DHT 3 AR																					cell line VCaP		DHT								AR					PRMT5 NTC						VCaP														
SRP071668	SRX1629248	SRR3222473	9606	sh1 DHT 3 AR																					cell line VCaP		DHT								AR					PRMT5 sh1						VCaP														
SRP071668	SRX1629249	SRR3222474	9606	sh2 DHT 3 AR																					cell line VCaP		DHT								AR					PRMT5 sh2						VCaP														
SRP071668	SRX1629250	SRR3222475	9606	sh3 DHT 3 AR																					cell line VCaP		DHT								AR					PRMT5 sh3						VCaP														
SRP071668	SRX1629251	SRR3222476	9606	NTC DHT 1 ERG																					cell line VCaP		DHT								ERG					PRMT5 NTC						VCaP														
SRP071668	SRX1629252	SRR3222477	9606	sh1 DHT 1 ERG																					cell line VCaP		DHT								ERG					PRMT5 sh1						VCaP														
SRP071668	SRX1629253	SRR3222478	9606	sh2 DHT 1 ERG																					cell line VCaP		DHT								ERG					PRMT5 sh2						VCaP														
SRP071668	SRX1629254	SRR3222479	9606	sh3 DHT 1 ERG																					cell line VCaP		DHT								ERG					PRMT5 sh3						VCaP														
SRP071668	SRX1629255	SRR3222480	9606	NTC DHT 2 ERG																					cell line VCaP		DHT								ERG					PRMT5 NTC						VCaP														
SRP071668	SRX1629256	SRR3222481	9606	sh1 DHT 2 ERG																					cell line VCaP		DHT								ERG					PRMT5 sh1						VCaP														
SRP071668	SRX1629257	SRR3222482	9606	sh2 DHT 2 ERG																					cell line VCaP		DHT								ERG					PRMT5 sh2						VCaP														
SRP071668	SRX1629258	SRR3222483	9606	sh3 DHT 2 ERG																					cell line VCaP		DHT								ERG					PRMT5 sh3						VCaP														
SRP388148	SRX16671701	SRR20648579	9606	CHL1 cell, CDK4/6 inhibition,6 days, 2																					CHL1		CDK4/6 inhibition		WT																6 days	CHL1												melanoma cell		
SRP388148	SRX16671702	SRR20648578	9606	CHL1 cell, CDK4/6 inhibition,6 days, 1																					CHL1		CDK4/6 inhibition		WT																6 days	CHL1												melanoma cell		
SRP388148	SRX16671703	SRR20648577	9606	CHL1 cell, PRMT5 inhibition,72 hours, 2																					CHL1		PRMT5 inhibition		WT																72 hours	CHL1												melanoma cell		
SRP388148	SRX16671704	SRR20648576	9606	CHL1 cell, PRMT5 inhibition,72 hours, 1																					CHL1		PRMT5 inhibition		WT																72 hours	CHL1												melanoma cell		
SRP388148	SRX16671705	SRR20648575	9606	CHL1 cell, CDK4/6 inhibition,72 hours, 2																					CHL1		CDK4/6 inhibition		WT																72 hours	CHL1												melanoma cell		
SRP388148	SRX16671706	SRR20648574	9606	CHL1 cell, CDK4/6 inhibition,72 hours, 1																					CHL1		CDK4/6 inhibition		WT																72 hours	CHL1												melanoma cell		
SRP388148	SRX16671707	SRR20648573	9606	CHL1 cell, control,72 hours, 2																					CHL1		Control		WT																72 hours	CHL1												melanoma cell		
SRP388148	SRX16671708	SRR20648572	9606	CHL1 cell, control,72 hours, 1																					CHL1		Control		WT																72 hours	CHL1												melanoma cell		
